Address:,USB0::0x0957::0x179B::MY54313426::0::INSTR,,Analog Channels,,,,Function Channels,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),,Time (s),M1,
,,,0.000458333115,7.69814066728577,0.931124343187548,,0.000458333115,6.76171914348379,
,,,0.00049999978,7.70316579192877,0.931124343187548,,0.00049999978,6.76562539301813,
,,,0.000541666445,7.70819091657177,0.929868061793968,,0.000541666445,6.7734378920868,
,,,0.000583333110000001,7.71824116585776,0.931124343187548,,0.000583333110000001,6.78125039115548,
,,,0.000624999775,7.72829141514376,0.931124343187548,,0.000624999775,6.7929691397585,
,,,0.000666666440000001,7.73834166442975,0.929868061793968,,0.000666666440000001,6.80078163882717,
,,,0.000708333105,7.75341703835875,0.931124343187548,,0.000708333105,6.81640663696453,
,,,0.000749999770000001,7.76346728764474,0.931124343187548,,0.000749999770000001,6.82812538556755,
,,,0.000791666435,7.77351753693074,0.932380624581128,,0.000791666435,6.83593788463622,
,,,0.0008333331,7.77854266157374,0.932380624581128,,0.0008333331,6.83984413417056,
,,,0.000874999765,7.78356778621674,0.932380624581128,,0.000874999765,6.8437503837049,
,,,0.00091666643,7.78859291085973,0.932380624581128,,0.00091666643,6.85156288277358,
,,,0.000958333095000001,7.79864316014573,0.932380624581128,,0.000958333095000001,6.85937538184226,
,,,0.00099999976,7.80869340943173,0.933636905974709,,0.00099999976,6.87109413044527,
,,,0.001041666425,7.81874365871772,0.932380624581128,,0.001041666425,6.87890662951395,
,,,0.00108333309,7.82879390800372,0.932380624581128,,0.00108333309,6.89062537811697,
,,,0.001124999755,7.83884415728971,0.932380624581128,,0.001124999755,6.90234412671998,
,,,0.00116666642,7.84889440657571,0.932380624581128,,0.00116666642,6.91015662578866,
,,,0.001208333085,7.85391953121871,0.932380624581128,,0.001208333085,6.914062875323,
,,,0.00124999975,7.85894465586171,0.932380624581128,,0.00124999975,6.92187537439168,
,,,0.001291666415,7.8689949051477,0.932380624581128,,0.001291666415,6.92968787346035,
,,,0.00133333308,7.8740200297907,0.932380624581128,,0.00133333308,6.93750037252903,
,,,0.001374999745,7.8840702790767,0.932380624581128,,0.001374999745,6.94531287159771,
,,,0.00141666641,7.89412052836269,0.931124343187548,,0.00141666641,6.95703162020072,
,,,0.001458333075,7.90417077764869,0.931124343187548,,0.001458333075,6.96875036880374,
,,,0.00149999974,7.91422102693468,0.929868061793968,,0.00149999974,6.97656286787242,
,,,0.001541666405,7.92427127622068,0.931124343187548,,0.001541666405,6.98828161647543,
,,,0.00158333307,7.92929640086368,0.931124343187548,,0.00158333307,6.99218786600977,
,,,0.001624999735,7.94437177479267,0.931124343187548,,0.001624999735,7.00781286414713,
,,,0.0016666664,7.94437177479267,0.931124343187548,,0.0016666664,7.00781286414713,
,,,0.001708333065,7.95442202407867,0.931124343187548,,0.001708333065,7.0156253632158,
,,,0.00174999973,7.96447227336466,0.931124343187548,,0.00174999973,7.02734411181882,
,,,0.001791666395,7.97452252265066,0.931124343187548,,0.001791666395,7.03906286042184,
,,,0.00183333306,7.98457277193666,0.929868061793968,,0.00183333306,7.04687535949051,
,,,0.001874999725,7.99462302122265,0.931124343187548,,0.001874999725,7.05859410809353,
,,,0.00191666639,8.00467327050865,0.929868061793968,,0.00191666639,7.07031285669655,
,,,0.001958333055,8.01472351979464,0.931124343187548,,0.001958333055,7.07812535576522,
,,,0.00199999972,8.01974864443764,0.929868061793968,,0.00199999972,7.08203160529956,
,,,0.002041666385,8.02477376908064,0.931124343187548,,0.002041666385,7.0859378548339,
,,,0.00208333305,8.03482401836663,0.931124343187548,,0.00208333305,7.09765660343692,
,,,0.002124999715,8.04487426765263,0.932380624581128,,0.002124999715,7.10546910250559,
,,,0.00216666638,8.04989939229563,0.931124343187548,,0.00216666638,7.11328160157427,
,,,0.002208333045,8.05994964158162,0.932380624581128,,0.002208333045,7.12109410064295,
,,,0.00224999971,8.06999989086762,0.931124343187548,,0.00224999971,7.13281284924597,
,,,0.002291666375,8.08507526479661,0.932380624581128,,0.002291666375,7.14843784738332,
,,,0.00233333304,8.09010038943961,0.932380624581128,,0.00233333304,7.15234409691766,
,,,0.002374999705,8.09512551408261,0.929868061793968,,0.002374999705,7.16015659598634,
,,,0.00241666637,8.10517576336861,0.931124343187548,,0.00241666637,7.16796909505501,
,,,0.002458333035,8.1152260126546,0.931124343187548,,0.002458333035,7.17968784365803,
,,,0.0024999997,8.1252762619406,0.932380624581128,,0.0024999997,7.18750034272671,
,,,0.002541666365,8.1303013865836,0.931124343187548,,0.002541666365,7.19140659226105,
,,,0.00258333303,8.14537676051259,0.931124343187548,,0.00258333303,7.2070315903984,
,,,0.002624999695,8.15040188515559,0.931124343187548,,0.002624999695,7.21484408946708,
,,,0.00266666636,8.16547725908458,0.931124343187548,,0.00266666636,7.22656283807009,
,,,0.002708333025,8.17050238372758,0.931124343187548,,0.002708333025,7.23437533713877,
,,,0.00274999969,8.17552750837058,0.931124343187548,,0.00274999969,7.23828158667311,
,,,0.002791666355,8.18557775765657,0.932380624581128,,0.002791666355,7.24609408574179,
,,,0.00283333302,8.19562800694257,0.931124343187548,,0.00283333302,7.2578128343448,
,,,0.002874999685,8.20065313158557,0.931124343187548,,0.002874999685,7.26171908387914,
,,,0.00291666635,8.20567825622857,0.931124343187548,,0.00291666635,7.26953158294782,
,,,0.002958333015,8.22075363015756,0.929868061793968,,0.002958333015,7.28515658108518,
,,,0.00299999968,8.23080387944356,0.929868061793968,,0.00299999968,7.29296908015385,
,,,0.003041666345,8.23582900408655,0.932380624581128,,0.003041666345,7.29687532968819,
,,,0.00308333301,8.24587925337255,0.932380624581128,,0.00308333301,7.30859407829121,
,,,0.003124999675,8.25090437801555,0.932380624581128,,0.003124999675,7.31250032782555,
,,,0.00316666634,8.26095462730154,0.931124343187548,,0.00316666634,7.32421907642856,
,,,0.003208333005,8.26597975194454,0.932380624581128,,0.003208333005,7.3281253259629,
,,,0.00324999967,8.27603000123054,0.932380624581128,,0.00324999967,7.33593782503158,
,,,0.003291666335,8.28105512587354,0.932380624581128,,0.003291666335,7.34375032410026,
,,,0.003333333,8.28608025051653,0.932380624581128,,0.003333333,7.34765657363459,
,,,0.003374999665,8.29613049980253,0.932380624581128,,0.003374999665,7.35937532223761,
,,,0.00341666633,8.31120587373152,0.932380624581128,,0.00341666633,7.37109407084063,
,,,0.003458332995,8.31623099837452,0.932380624581128,,0.003458332995,7.3789065699093,
,,,0.00349999966,8.33130637230352,0.932380624581128,,0.00349999966,7.39062531851232,
,,,0.003541666325,8.33633149694651,0.932380624581128,,0.003541666325,7.398437817581,
,,,0.00358333299,8.34135662158951,0.929868061793968,,0.00358333299,7.40625031664968,
,,,0.003624999655,8.35140687087551,0.931124343187548,,0.003624999655,7.41406281571835,
,,,0.00366666632,8.3614571201615,0.931124343187548,,0.00366666632,7.42578156432137,
,,,0.003708332985,8.3664822448045,0.932380624581128,,0.003708332985,7.42578156432137,
,,,0.00374999965,8.3765324940905,0.931124343187548,,0.00374999965,7.43750031292439,
,,,0.003791666315,8.39160786801949,0.931124343187548,,0.003791666315,7.45312531106174,
,,,0.00383333298,8.40165811730549,0.931124343187548,,0.00383333298,7.46484405966476,
,,,0.003874999645,8.40668324194849,0.931124343187548,,0.003874999645,7.46875030919909,
,,,0.00391666631,8.41673349123448,0.931124343187548,,0.00391666631,7.48046905780211,
,,,0.003958332975,8.42678374052048,0.931124343187548,,0.003958332975,7.48828155687079,
,,,0.00399999964,8.42678374052048,0.932380624581128,,0.00399999964,7.48828155687079,
,,,0.004041666305,8.43683398980647,0.932380624581128,,0.004041666305,7.49609405593947,
,,,0.00408333297,8.44688423909247,0.929868061793968,,0.00408333297,7.51171905407682,
,,,0.004124999635,8.45693448837847,0.932380624581128,,0.004124999635,7.5195315531455,
,,,0.0041666663,8.46698473766446,0.931124343187548,,0.0041666663,7.53125030174851,
,,,0.004208332965,8.47703498695046,0.929868061793968,,0.004208332965,7.53906280081719,
,,,0.00424999963,8.48708523623645,0.929868061793968,,0.00424999963,7.55078154942021,
,,,0.004291666295,8.49713548552245,0.931124343187548,,0.004291666295,7.55859404848889,
,,,0.00433333296,8.50216061016545,0.929868061793968,,0.00433333296,7.56640654755756,
,,,0.004374999625,8.50718573480845,0.931124343187548,,0.004374999625,7.5703127970919,
,,,0.00441666629,8.51723598409444,0.931124343187548,,0.00441666629,7.57812529616058,
,,,0.004458332955,8.52226110873744,0.932380624581128,,0.004458332955,7.58203154569492,
,,,0.00449999962,8.53231135802343,0.931124343187548,,0.00449999962,7.59375029429793,
,,,0.004541666285,8.54738673195243,0.931124343187548,,0.004541666285,7.60937529243529,
,,,0.00458333295,8.55241185659543,0.931124343187548,,0.00458333295,7.61328154196963,
,,,0.004624999615,8.56246210588142,0.932380624581128,,0.004624999615,7.62500029057264,
,,,0.00466666628,8.57251235516742,0.931124343187548,,0.00466666628,7.63671903917566,
,,,0.004708332945,8.58256260445341,0.932380624581128,,0.004708332945,7.64453153824434,
,,,0.00474999961,8.58758772909641,0.931124343187548,,0.00474999961,7.64843778777868,
,,,0.004791666275,8.59261285373941,0.929868061793968,,0.004791666275,7.65625028684735,
,,,0.00483333294,8.59763797838241,0.931124343187548,,0.00483333294,7.66015653638169,
,,,0.004874999605,8.6076882276684,0.931124343187548,,0.004874999605,7.67187528498471,
,,,0.00491666627,8.6227636015974,0.931124343187548,,0.00491666627,7.68359403358772,
,,,0.004958332935,8.63281385088339,0.931124343187548,,0.004958332935,7.69531278219074,
,,,0.0049999996,8.63783897552639,0.932380624581128,,0.0049999996,7.69921903172508,
,,,0.005041666265,8.65291434945539,0.932380624581128,,0.005041666265,7.71484402986243,
,,,0.00508333293,8.65793947409838,0.931124343187548,,0.00508333293,7.71875027939677,
,,,0.005124999595,8.66296459874138,0.931124343187548,,0.005124999595,7.72656277846545,
,,,0.00516666626,8.66798972338438,0.931124343187548,,0.00516666626,7.73046902799979,
,,,0.005208332925,8.67803997267038,0.929868061793968,,0.005208332925,7.7421877766028,
